epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.612,1.60132,2.68381,1.4482,0.31216,0.29935,0.24456,0.1307,1.47594,2.885,1.30599,0.00048,0.00048,0.00048
2,57.2249,1.46172,1.68271,1.31238,0.59173,0.06892,0.14247,0.0702,1.67247,2.92603,1.70241,0.000973532,0.000973532,0.000973532
3,82.2675,1.493,1.57107,1.32938,0.27615,0.20531,0.15437,0.06949,1.89556,2.6316,1.84891,0.00146046,0.00146046,0.00146046
4,107.193,1.55015,1.53684,1.37415,0.10255,0.11773,0.05411,0.02183,2.09949,3.28464,2.26541,0.0019408,0.0019408,0.0019408
5,132.131,1.56771,1.5004,1.38297,0.26453,0.31012,0.19331,0.08227,1.99627,2.88622,1.82924,0.0019472,0.0019472,0.0019472
6,157.347,1.53929,1.46204,1.36291,0.16072,0.27136,0.09645,0.0405,2.20964,2.80002,2.03348,0.001934,0.001934,0.001934
7,181.793,1.52178,1.42047,1.36801,0.24323,0.34725,0.1865,0.0796,1.90742,3.12863,1.77655,0.0019208,0.0019208,0.0019208
8,206.743,1.50645,1.35165,1.34833,0.51604,0.48385,0.47438,0.26554,1.60179,2.13428,1.55422,0.0019076,0.0019076,0.0019076
9,231.441,1.45075,1.28921,1.30617,0.50498,0.43719,0.43144,0.23979,1.65777,2.00568,1.56608,0.0018944,0.0018944,0.0018944
10,256.398,1.4306,1.26338,1.30569,0.49198,0.40201,0.43264,0.24848,1.61943,1.94298,1.54509,0.0018812,0.0018812,0.0018812
11,280.691,1.40365,1.24729,1.28614,0.66606,0.51543,0.5759,0.33027,1.50271,2.10298,1.43549,0.001868,0.001868,0.001868
12,305.604,1.39771,1.2355,1.30242,0.60518,0.55276,0.58286,0.337,1.48015,1.42822,1.38979,0.0018548,0.0018548,0.0018548
13,330.857,1.40937,1.22154,1.29175,0.50233,0.54774,0.47464,0.26199,1.58324,1.62001,1.46343,0.0018416,0.0018416,0.0018416
14,356.069,1.40854,1.23653,1.29449,0.66137,0.49749,0.56203,0.33068,1.5181,1.53978,1.41566,0.0018284,0.0018284,0.0018284
15,380.38,1.40399,1.18975,1.26249,0.59858,0.47308,0.50977,0.29132,1.56912,1.87159,1.44429,0.0018152,0.0018152,0.0018152
16,405.763,1.37332,1.17564,1.27746,0.58216,0.48457,0.52083,0.30785,1.55159,1.67775,1.45835,0.001802,0.001802,0.001802
17,431.251,1.38174,1.14091,1.26361,0.62047,0.49533,0.53529,0.29771,1.75999,1.59288,1.6457,0.0017888,0.0017888,0.0017888
18,456.824,1.33699,1.14476,1.26216,0.6458,0.59512,0.64048,0.3766,1.44174,1.32622,1.36344,0.0017756,0.0017756,0.0017756
19,481.177,1.36967,1.14354,1.2846,0.68632,0.59943,0.66683,0.39131,1.44798,1.25792,1.35675,0.0017624,0.0017624,0.0017624
20,506.059,1.36536,1.10723,1.24776,0.65457,0.54989,0.6001,0.35219,1.52388,1.37684,1.42497,0.0017492,0.0017492,0.0017492
21,531.13,1.35509,1.09989,1.23968,0.73567,0.55635,0.63599,0.37417,1.47774,1.25834,1.35159,0.001736,0.001736,0.001736
22,555.775,1.31717,1.08263,1.24312,0.60489,0.56161,0.56419,0.32843,1.49416,1.32508,1.36323,0.0017228,0.0017228,0.0017228
23,580.857,1.33525,1.06886,1.22545,0.67389,0.60445,0.66386,0.40906,1.36103,1.17328,1.29429,0.0017096,0.0017096,0.0017096
24,605.466,1.28654,1.04347,1.22909,0.70507,0.57215,0.64074,0.38168,1.46475,1.48317,1.32254,0.0016964,0.0016964,0.0016964
25,630.331,1.34097,1.07835,1.22801,0.67806,0.57143,0.62857,0.38042,1.40732,1.33538,1.3252,0.0016832,0.0016832,0.0016832
26,655.501,1.29795,1.02661,1.23201,0.70082,0.57215,0.65518,0.40428,1.39865,1.20786,1.33155,0.00167,0.00167,0.00167
27,680.681,1.29933,1.02749,1.23176,0.72761,0.58866,0.67059,0.41979,1.34608,1.18232,1.28025,0.0016568,0.0016568,0.0016568
28,705.142,1.29422,1.01526,1.20694,0.69731,0.61354,0.6704,0.40283,1.42017,1.2404,1.35413,0.0016436,0.0016436,0.0016436
29,730.134,1.27193,1.00517,1.20719,0.71876,0.62312,0.69014,0.42576,1.36649,1.16361,1.29833,0.0016304,0.0016304,0.0016304
30,755.258,1.26749,1.00753,1.20624,0.74193,0.61091,0.68874,0.41995,1.39131,1.28087,1.32714,0.0016172,0.0016172,0.0016172
