epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,703.857,1.17875,1.24354,1.0738,0.68645,0.34616,0.38781,0.25219,1.14966,0.89571,1.03212,0.00333016,0.00333016,0.00333016
2,1367.94,1.17162,0.93364,1.06599,0.57546,0.37315,0.4042,0.26962,1.18337,0.915,1.04322,0.00653155,0.00653155,0.00653155
3,2021.95,1.23893,0.99276,1.09648,0.60402,0.28748,0.35779,0.23285,1.30528,1.08827,1.11167,0.00960095,0.00960095,0.00960095
4,2671.63,1.28168,1.04387,1.12836,0.56568,0.36978,0.38574,0.25507,1.24828,0.95693,1.09036,0.009406,0.009406,0.009406
5,3318.89,1.24075,0.97049,1.10714,0.63691,0.38645,0.3955,0.25999,1.20252,0.89638,1.07112,0.009208,0.009208,0.009208
6,4016.25,1.20644,0.92385,1.09212,0.70371,0.38495,0.42083,0.28045,1.17691,0.85389,1.06428,0.00901,0.00901,0.00901
7,4671.59,1.18443,0.88527,1.07786,0.69254,0.4086,0.43701,0.29191,1.15917,0.82609,1.04479,0.008812,0.008812,0.008812
8,5319.43,1.16142,0.85997,1.07197,0.74355,0.37284,0.44196,0.29328,1.13553,0.79495,1.04366,0.008614,0.008614,0.008614
9,5964.91,1.14864,0.83856,1.06661,0.74981,0.40556,0.46216,0.31125,1.11735,0.77251,1.02581,0.008416,0.008416,0.008416
10,6609.54,1.13951,0.82497,1.06032,0.7257,0.42191,0.45611,0.30481,1.11053,0.76764,1.02529,0.008218,0.008218,0.008218
11,7254.77,1.12533,0.80209,1.05344,0.66755,0.4504,0.45967,0.30574,1.10263,0.74237,1.0218,0.00802,0.00802,0.00802
12,7899.53,1.12108,0.80057,1.05237,0.69486,0.45756,0.46615,0.31017,1.08846,0.72594,1.01211,0.007822,0.007822,0.007822
13,8545.25,1.11202,0.79002,1.0444,0.69388,0.45989,0.47453,0.31813,1.0805,0.7167,1.00874,0.007624,0.007624,0.007624
14,9192.23,1.10539,0.78242,1.0435,0.76473,0.44726,0.49075,0.33401,1.07157,0.702,1.00633,0.007426,0.007426,0.007426
15,9841.53,1.09466,0.7636,1.03705,0.73382,0.45628,0.48934,0.33165,1.06388,0.69273,1.0039,0.007228,0.007228,0.007228
16,10491.5,1.08592,0.75412,1.03432,0.73423,0.46782,0.49351,0.33079,1.05981,0.68216,0.99993,0.00703,0.00703,0.00703
17,11140.1,1.08473,0.74905,1.03035,0.70006,0.4574,0.50405,0.34316,1.05465,0.67515,0.99626,0.006832,0.006832,0.006832
18,11788.9,1.07746,0.74162,1.02972,0.61363,0.4897,0.50017,0.34033,1.04724,0.66516,0.99517,0.006634,0.006634,0.006634
19,12436.4,1.06918,0.72977,1.02312,0.69012,0.47984,0.49802,0.33583,1.04454,0.65877,0.9914,0.006436,0.006436,0.006436
20,13084.7,1.06635,0.72471,1.02364,0.61295,0.49695,0.50672,0.34205,1.04138,0.65377,0.99134,0.006238,0.006238,0.006238
21,13738.2,1.06614,0.72492,1.02215,0.69145,0.47413,0.51868,0.35188,1.03772,0.64867,0.98969,0.00604,0.00604,0.00604
22,14389.5,1.05601,0.71216,1.01839,0.66328,0.48635,0.5177,0.3505,1.03558,0.64596,0.98931,0.005842,0.005842,0.005842
23,15039.2,1.05403,0.70782,1.01653,0.71306,0.474,0.52235,0.35446,1.03304,0.64252,0.98837,0.005644,0.005644,0.005644
24,15688.1,1.0472,0.69665,1.0139,0.69466,0.48239,0.52063,0.35297,1.03175,0.63884,0.98627,0.005446,0.005446,0.005446
25,16338.5,1.04125,0.69196,1.00893,0.67305,0.51385,0.52641,0.3582,1.02954,0.63515,0.98427,0.005248,0.005248,0.005248
26,16987.8,1.03695,0.6854,1.00727,0.69162,0.51034,0.52812,0.35986,1.02762,0.63298,0.98254,0.00505,0.00505,0.00505
27,17637.3,1.03317,0.68205,1.00584,0.67972,0.5127,0.53208,0.3632,1.02516,0.63029,0.98158,0.004852,0.004852,0.004852
