filename,width,height,xmin,ymin,xmax,ymax
/kaggle/input/annotated-potholes-dataset/annotated-images/img-1.jpg,720,720,213,240,525,378
/kaggle/input/annotated-potholes-dataset/annotated-images/img-10.jpg,720,720,285,214,444,355
/kaggle/input/annotated-potholes-dataset/annotated-images/img-100.jpg,720,720,235,272,434,388
/kaggle/input/annotated-potholes-dataset/annotated-images/img-101.jpg,720,720,228,303,394,432
/kaggle/input/annotated-potholes-dataset/annotated-images/img-102.jpg,720,720,230,246,492,550
/kaggle/input/annotated-potholes-dataset/annotated-images/img-103.jpg,720,720,264,251,479,366
/kaggle/input/annotated-potholes-dataset/annotated-images/img-104.jpg,720,720,235,164,480,335
/kaggle/input/annotated-potholes-dataset/annotated-images/img-105.jpg,720,720,293,296,444,409
/kaggle/input/annotated-potholes-dataset/annotated-images/img-106.jpg,720,720,144,168,511,475
/kaggle/input/annotated-potholes-dataset/annotated-images/img-107.jpg,720,720,230,286,456,459
/kaggle/input/annotated-potholes-dataset/annotated-images/img-108.jpg,720,720,270,198,442,326
/kaggle/input/annotated-potholes-dataset/annotated-images/img-109.jpg,720,720,337,244,451,337
/kaggle/input/annotated-potholes-dataset/annotated-images/img-11.jpg,720,720,223,245,466,489
/kaggle/input/annotated-potholes-dataset/annotated-images/img-110.jpg,720,720,224,290,638,411
/kaggle/input/annotated-potholes-dataset/annotated-images/img-111.jpg,720,720,337,265,425,319
/kaggle/input/annotated-potholes-dataset/annotated-images/img-112.jpg,720,720,176,171,513,301
/kaggle/input/annotated-potholes-dataset/annotated-images/img-113.jpg,720,720,90,142,595,459
/kaggle/input/annotated-potholes-dataset/annotated-images/img-114.jpg,720,720,271,260,403,373
/kaggle/input/annotated-potholes-dataset/annotated-images/img-115.jpg,720,720,230,275,454,394
/kaggle/input/annotated-potholes-dataset/annotated-images/img-116.jpg,720,720,295,265,530,411
/kaggle/input/annotated-potholes-dataset/annotated-images/img-117.jpg,720,720,280,270,404,517
/kaggle/input/annotated-potholes-dataset/annotated-images/img-118.jpg,720,720,155,151,504,595
/kaggle/input/annotated-potholes-dataset/annotated-images/img-119.jpg,720,720,188,212,395,389
/kaggle/input/annotated-potholes-dataset/annotated-images/img-12.jpg,720,720,278,373,535,639
/kaggle/input/annotated-potholes-dataset/annotated-images/img-120.jpg,720,720,242,346,492,440
/kaggle/input/annotated-potholes-dataset/annotated-images/img-121.jpg,720,720,159,230,331,352
